user_id,items,created_at,updated_at
28679,"[68294, 65924, 9996, 64366, 11787]",2024-07-22 07:31:34,2024-08-21 18:07:52
84812,"[77813, 58446, 89693, 79425, 37799]",2024-06-27 11:19:30,2024-12-17 11:34:58
30303,"[12252, 88853, 21663, 903, 13251]",2024-01-29 20:54:22,2024-12-04 23:10:28
62326,"[57212, 99871, 40788, 70266, 52000]",2023-06-19 18:09:27,2023-09-26 21:57:00
52573,"[97813, 95288, 95593, 28198, 56800]",2023-08-21 11:36:32,2024-08-09 12:13:14
51810,"[20452, 17802, 73522, 12453, 76744]",2024-07-22 06:48:16,2024-12-28 17:04:04
49756,"[89439, 20394, 23981, 73434, 83056]",2023-09-04 13:50:29,2023-12-19 17:30:12
3471,"[52000, 26176, 60690, 81307, 97166]",2024-09-23 03:03:18,2025-01-13 22:49:27
7947,"[27932, 34900, 64452, 89275, 4070]",2023-02-08 23:42:22,2023-05-06 11:51:51
32752,"[93504, 13792, 55160, 76401, 88208]",2023-08-17 10:08:54,2023-11-13 19:29:57
89860,"[76484, 87601, 70067, 88536, 59283]",2024-01-01 10:24:02,2024-09-09 03:12:39
40681,"[65895, 87601, 28713, 5277, 31833]",2024-12-07 13:03:11,2025-01-02 11:50:19
29243,"[70064, 81279, 43587, 33364, 13948]",2025-01-15 12:16:31,2025-01-17 05:48:34
37937,"[17730, 61013, 75702, 68294, 86850]",2023-03-22 21:31:43,2024-02-02 23:29:43
29148,"[1818, 37987, 19008, 32673, 58532]",2024-11-04 05:28:08,2024-11-04 23:50:13
56246,"[76505, 69432, 74775, 36091, 84605]",2023-06-19 04:54:51,2023-11-08 23:41:23
71347,"[79662, 49139, 95016, 29319, 95379]",2024-07-05 18:20:34,2024-08-24 17:08:49
41229,"[13462, 77919, 39885, 70928, 28388]",2024-12-06 19:00:57,2024-12-08 20:41:38
12373,"[29707, 90957, 51274, 6921, 2289]",2023-02-03 00:17:01,2024-06-12 04:02:18
98244,"[33814, 2490, 99206, 53058, 31536]",2024-10-08 23:31:59,2024-10-31 11:56:01
71307,"[37481, 90117, 56044, 56058, 49058]",2024-01-23 13:58:17,2024-04-01 08:36:45
29977,"[2289, 99241, 6600, 66060, 57315]",2023-11-28 11:09:40,2024-09-19 09:26:14
33108,"[94183, 52673, 30489, 59222, 51270]",2024-06-17 09:12:49,2024-08-11 22:06:50
56612,"[43314, 7776, 92218, 4227, 56323]",2023-05-01 22:55:35,2024-04-12 20:18:22
76411,"[32165, 6341, 15456, 33697, 14088]",2023-08-26 23:40:37,2024-04-06 13:39:23
22869,"[75702, 1356, 96500, 24990, 95316]",2024-02-02 05:29:09,2024-12-11 04:34:51
49396,"[28364, 55169, 76710, 67100, 18357]",2024-09-18 19:42:11,2024-12-01 12:26:20
29168,"[88536, 21725, 9871, 72799, 33171]",2024-06-24 09:27:57,2024-09-25 11:43:00
75728,"[91775, 75313, 50694, 29780, 18861]",2024-08-07 00:00:17,2024-11-15 05:15:31
68647,"[33307, 55481, 72168, 94339, 36483]",2024-09-15 14:22:41,2025-01-02 21:53:57
18732,"[49250, 11726, 95767, 9620, 51410]",2023-08-21 23:06:15,2024-03-08 04:08:50
38881,"[68563, 88695, 15871, 59182, 90406]",2025-01-09 13:44:32,2025-01-16 08:20:56
43196,"[40060, 34149, 6977, 48709, 36843]",2023-12-20 01:53:12,2024-12-07 09:00:39
53930,"[2509, 84014, 41812, 39777, 64817]",2024-05-10 08:11:36,2024-10-15 11:22:15
65973,"[58315, 14064, 99176, 75969, 75533]",2023-02-06 21:35:16,2023-04-27 03:33:09
86854,"[3077, 413, 20339, 19682, 99933]",2023-01-25 02:13:41,2023-04-20 03:45:26
15686,"[74775, 4070, 94234, 56795, 3708]",2024-11-19 13:34:54,2025-01-14 13:33:51
88291,"[48516, 10101, 29780, 78035, 34821]",2023-05-30 23:47:31,2024-02-09 00:40:48
46958,"[65895, 78685, 70346, 502, 89335]",2024-02-27 02:50:50,2024-02-29 13:57:11
98429,"[3492, 41136, 44120, 32822, 80862]",2024-07-17 18:47:38,2024-09-30 21:38:30
76877,"[85874, 31195, 59283, 57315, 2797]",2024-01-03 18:27:56,2024-05-17 08:23:53
20406,"[34649, 59599, 57212, 32673, 64873]",2023-02-12 14:43:07,2023-11-11 02:26:50
19261,"[14542, 12351, 87049, 64452, 49653]",2023-05-21 02:45:24,2023-07-11 21:50:27
82755,"[11512, 90216, 8319, 99966, 57663]",2024-02-22 04:44:06,2024-08-09 18:51:15
55148,"[12252, 88695, 98191, 73522, 92218]",2024-03-28 13:13:22,2024-06-11 16:22:12
18233,"[2509, 85317, 25471, 61988, 77454]",2024-10-05 10:00:11,2024-11-04 06:16:13
80014,"[42050, 40834, 88044, 9017, 1243]",2023-09-30 15:01:54,2024-07-04 12:07:19
89672,"[3492, 79948, 33645, 67100, 6600]",2023-04-30 13:23:26,2024-08-02 23:52:20
13642,"[62042, 95306, 76401, 21606, 67239]",2023-04-13 00:24:12,2023-10-12 18:45:55
92484,"[44120, 76505, 96326, 86146, 14088]",2023-07-16 13:51:37,2023-09-17 03:18:41
32080,"[89890, 15871, 55160, 3719, 40797]",2024-09-16 18:55:15,2024-11-25 14:27:56
17541,"[58726, 97436, 51399, 27501, 85802]",2025-01-08 03:54:52,2025-01-14 14:53:58
53264,"[98394, 70266, 48199, 2087, 77105]",2024-06-23 07:54:35,2024-11-05 12:06:52
