id,name,artist,songwriters,duration,genres,album,created_at,updated_at,duration_seconds,normalized_duration
17772,season,Jonathan Huang,Troy Conner,54:28,fire,opportunity,2024-02-20T02:41:53,2024-12-03T07:41:51,3268,0.9148637257656645
57663,painting,Daniel Hall,Nicole Smith,35:23,night,create,2023-09-04T21:09:50,2024-09-20T07:26:28,2123,0.5931441416128126
41357,north,Morgan Fleming,Ronald Collins,12:46,maintain,region,2023-06-03T08:34:54,2024-03-01T11:46:57,766,0.2118572632762012
52294,character,Tina Long,Randy Evans,46:18,wide,involve,2024-08-05T14:51:04,2024-08-28T14:33:31,2778,0.7771846024164091
53058,none,Sarah Reese,Michael Baker,36:42,human,region,2024-12-02T05:37:45,2024-05-21T02:57:15,2202,0.6153413880303455
85317,behavior,Diane Ross,David Sutton,23:51,rule,debate,2023-08-15T16:13:42,2024-05-07T01:40:32,1431,0.3987075021073335
89439,team,Brittany York,Sophia Wilkerson DDS,15:50,safe,factor,2023-05-22T01:40:11,2024-02-06T04:25:38,950,0.26355717898286035
72341,which,Jane Garcia,Karen Wiley,11:24,rule,religious,2023-10-28T19:01:52,2024-11-25T02:26:16,684,0.18881708345040743
43226,show,John Little,Susan Gonzalez,06:11,its,pattern,2024-08-11T13:17:32,2024-06-13T18:37:01,371,0.1008710311885361
28467,conference,Christian Smith,Jeffrey Anderson,28:55,enter,management,2023-10-01T01:15:48,2024-02-16T11:12:24,1735,0.4841247541444226
33171,follow,Johnny Thompson,Eric Robinson,45:35,event,address,2024-09-23T11:48:55,2024-10-04T00:34:34,2735,0.7651025568980051
70928,example,Gregory Kramer,Anita Francis,00:12,part,science,2023-03-19T06:56:04,2024-10-13T12:44:05,12,0.0
88413,attention,Matthew Morris MD,Jeffrey Ray,00:35,unit,society,2023-07-26T12:28:20,2024-07-03T20:01:55,35,0.006462489463332397
6309,final,Samantha Thompson,Corey Anderson,20:08,health,answer,2023-06-11T08:42:00,2024-02-04T23:09:40,1208,0.33604945209328463
90088,morning,Eric Wise,Kevin Washington,47:27,there,song,2024-04-30T11:44:19,2024-06-04T13:05:33,2847,0.7965720708064062
9214,light,Holly Elliott,Mary Andrews,32:01,animal,experience,2024-04-09T23:56:39,2024-11-03T22:50:01,1921,0.5363866254565889
40783,up,Gina Turner,April Hughes,40:52,production,everyone,2024-03-07T01:46:12,2025-01-16T00:00:49,2452,0.6855858387187412
22364,professor,Benjamin Berry,Lauren Wolf,50:07,garden,least,2023-04-05T07:47:55,2024-05-25T22:47:12,3007,0.8415285192469795
20339,number,David Smith,Rose Hammond,19:10,probably,amount,2024-02-18T06:11:24,2024-05-04T10:03:22,1150,0.31975273953357686
8723,choose,Kathleen Moran,Shelly Garcia,13:32,movement,economy,2024-10-07T00:38:29,2024-02-13T04:27:46,812,0.22478224220286597
51832,true,Omar Johnson,Elizabeth Long,42:28,each,training,2025-01-15T17:59:04,2024-05-12T23:23:29,2548,0.7125597077830851
28361,industry,Gary Ramos,Cristian Mckinney,16:08,line,hot,2024-05-13T20:01:58,2024-04-18T19:12:19,968,0.26861477943242484
87307,effect,Leonard Hawkins,Aaron Harrison,23:22,computer,candidate,2023-07-08T03:41:47,2024-05-12T05:32:46,1402,0.39055914582747964
53349,floor,Marvin Baldwin,Barbara Delacruz,34:53,career,all,2023-10-22T23:35:53,2024-10-31T20:04:37,2093,0.5847148075302051
76947,image,Carrie Hill,Ashley Gonzalez,08:32,whatever,economy,2023-08-14T02:26:25,2024-12-02T20:43:57,512,0.14048890137679124
95333,cost,Curtis Ayers,Brandon Robinson,17:22,life,author,2023-08-27T19:58:15,2024-01-19T21:41:51,1042,0.28940713683618996
83579,man,Paul Sutton,Elizabeth Manning,58:11,ability,picture,2023-05-02T02:27:22,2024-08-28T04:11:36,3491,0.9775217757797134
89335,site,Alexander Collins,Victoria Wyatt,26:52,fire,society,2024-07-15T20:24:50,2024-05-03T22:18:35,1612,0.44956448440573193
3716,kind,Mrs Ann Gray DDS,Allison Smith,05:50,trouble,produce,2024-02-20T23:01:38,2024-04-03T13:59:52,350,0.09497049733071088
95316,score,Michael Perez,Travis Hill,56:17,few,point,2024-06-10T12:41:49,2024-02-09T03:57:51,3377,0.945490306265805
10757,food,Daniel Spencer,Courtney Herrera,13:31,station,always,2024-12-10T18:53:24,2024-08-10T06:57:08,811,0.2245012644001124
68132,president,Jeffrey Parker,Misty Rivera,12:08,natural,down,2023-10-06T05:27:30,2024-02-12T15:54:35,728,0.20118010677156506
43271,eight,Tony Moore,Jeanne Jones,18:56,child,picture,2023-10-26T15:45:47,2024-08-07T00:27:16,1136,0.3158190502950267
3492,during,John Cohen,William Allen,47:52,drive,officer,2024-08-05T19:45:34,2024-06-22T01:40:49,2872,0.8035965158752458
35590,be,Sharon Humphrey,James Smith,22:18,region,hope,2023-09-09T05:24:44,2024-11-21T17:45:45,1338,0.37257656645125037
88853,however,Dylan Ramirez,Michael Turner,21:44,occur,week,2023-09-02T14:23:00,2024-03-21T16:43:10,1304,0.36302332115762853
63457,sign,Nicole Figueroa,Jessica Mccoy,21:47,thank,sense,2023-08-27T05:26:26,2024-10-30T04:43:56,1307,0.3638662545658893
29649,them,Brian Tanner,Michelle Baker,33:48,end,about,2024-09-10T22:58:27,2024-06-06T23:38:40,2028,0.5664512503512222
49986,we,Mrs Pam Curry,Maria Young,31:02,cup,allow,2023-12-19T22:37:40,2024-10-03T23:22:39,1862,0.5198089350941275
62734,series,Amanda Crawford,Kevin Richardson,36:25,low,feeling,2024-11-09T10:05:48,2024-01-29T01:00:07,2185,0.6105647653835347
82165,sense,Michael Little,Matthew Smith,17:02,keep,talk,2023-03-04T14:08:34,2024-05-08T15:53:48,1022,0.28378758078111826
62522,sister,Amber Ponce,Holly Rodriguez,17:45,hit,medical,2023-02-01T01:34:58,2024-12-25T21:31:19,1065,0.29586962629952235
81307,shoulder,Renee Levine,Joanne Black,06:22,heavy,indeed,2024-04-10T00:47:58,2024-07-26T05:44:43,382,0.10396178701882551
95421,sit,Aaron Olson,Lauren Hernandez,41:54,material,court,2023-12-28T14:26:39,2025-01-05T00:48:09,2514,0.7030064624894633
94398,home,Joseph Sharp,Maureen Ellis,45:58,turn,war,2023-07-19T00:35:07,2024-10-12T13:42:58,2758,0.7715650463613375
8684,a,Edward Hernandez,Christopher Johnson,27:24,natural,ground,2024-11-06T01:24:02,2024-07-28T07:17:18,1644,0.45855577409384657
11907,evidence,Regina Cohen,Miss Emily Lopez,41:50,bill,early,2025-01-16T11:49:05,2024-07-10T21:29:56,2510,0.701882551278449
94738,send,Emily Berry,Jessica Ochoa,46:49,practice,economic,2024-12-05T07:41:08,2024-08-11T00:25:50,2809,0.7858949143017702
6828,tend,Jodi Dyer,Dr. Tyler Washington,22:40,politics,can,2024-10-02T18:22:03,2024-07-14T10:04:01,1360,0.37875807811182916
53031,public,John Bonilla,Paul Sampson,29:40,body,difficult,2024-03-29T03:31:01,2024-01-25T07:58:10,1780,0.4967687552683338
78525,option,Tina Reid,David Rogers,49:28,church,network,2023-10-12T09:55:53,2024-04-09T12:23:52,2968,0.8305703849395898
81853,job,Kristin Hill,Debbie Ford,17:26,thus,house,2024-09-03T23:04:37,2024-03-21T17:46:46,1046,0.29053104804720425
39308,stage,Justin Mendez,Jill Haynes,58:46,whom,water,2025-01-15T07:19:27,2024-11-20T09:28:21,3526,0.9873559988760888
52297,economy,Andrea Washington,Connor Harris,29:38,while,fear,2024-08-22T13:58:57,2025-01-09T13:08:44,1778,0.49620679966282666
49834,serve,Patricia Nguyen,Leslie Green,17:09,up,forget,2024-03-31T11:43:15,2024-05-24T14:57:04,1029,0.28575442540039336
41112,student,Katherine Anderson,Terry Nichols,08:47,amount,offer,2023-09-11T00:41:52,2024-06-03T10:30:37,527,0.14470356841809498
52507,a,Lauren Smith,Meagan Martinez,22:16,fact,theory,2023-07-29T15:52:31,2024-07-03T05:58:46,1336,0.37201461084574317
19914,trial,Sandra Garcia,Toni Barber,56:52,worry,side,2024-08-15T16:35:55,2024-04-25T13:19:36,3412,0.9553245293621804
65895,among,Christopher Diaz DDS,Mr. John Cole Jr.,44:10,ever,many,2023-05-30T06:22:51,2024-09-23T04:25:22,2650,0.7412194436639505
30420,any,Matthew Cherry,Joshua Grant,39:17,arm,practice,2024-01-16T02:08:42,2024-03-24T14:45:14,2357,0.6588929474571509
19311,ahead,Alexandria Stone,Jonathan Brown,39:44,once,car,2024-10-25T07:06:53,2024-05-26T22:38:09,2384,0.6664793481314976
81885,garden,Gabriela Jones,Kathryn Collins,49:37,letter,may,2023-04-21T12:35:39,2024-06-02T18:23:46,2977,0.833099185164372
27932,third,Patrick Wood,Jeffery Mejia,25:54,kitchen,deal,2024-12-16T20:45:27,2024-12-19T19:11:07,1554,0.43326777184602416
91285,that,Rick Conley,Marie Johnson,38:00,feeling,air,2023-03-11T04:47:52,2024-10-05T15:23:12,2280,0.637257656645125
78566,necessary,Ryan Baker,Jackson Cooper,08:49,education,center,2023-09-21T09:34:02,2024-07-27T05:59:49,529,0.14526552402360213
35330,ground,Brandon Vincent,Kelly Jensen,23:44,star,while,2024-04-11T17:36:08,2024-03-24T03:55:36,1424,0.3967406574880584
11722,must,Megan Ray,Emily Simmons,04:08,expect,see,2023-09-16T07:55:19,2024-06-02T12:28:24,248,0.06631076144984546
76175,collection,Robin Lewis,Kathryn Pollard,38:52,red,may,2025-01-06T04:37:43,2024-02-05T22:58:00,2332,0.6518685023883113
14561,value,Charles Bradshaw,Carrie Miller,51:31,some,race,2024-10-11T17:43:34,2024-07-13T01:16:20,3091,0.8651306546782804
83056,new,Dr Rebecca Johnson,Alicia Jackson,44:00,finish,paper,2023-01-31T02:39:33,2025-01-15T02:53:01,2640,0.7384096656364147
46604,play,Tony Harris,Christopher Turner,37:39,toward,tend,2024-07-22T20:05:57,2024-07-08T06:51:10,2259,0.6313571227872998
25523,receive,Matthew Harris,Brittany Boone,03:28,window,success,2024-05-10T20:10:47,2024-04-06T18:46:33,208,0.05507164933970216
14630,move,Gabriel Bowman,William Sanchez,38:22,arm,mention,2024-05-01T07:01:27,2024-12-23T15:05:23,2302,0.6434391683057038
49721,avoid,Benjamin Garcia,Larry Adams,17:30,keep,memory,2024-04-26T14:15:53,2024-01-29T16:27:09,1050,0.2916549592582186
39931,sea,Brian Scott,Christopher Garrison,40:21,school,stage,2023-12-04T20:22:59,2024-12-03T01:47:35,2421,0.6768755268333801
85874,only,Virginia Smith,Katherine Miller,36:21,deep,relationship,2023-09-20T01:58:52,2024-12-12T06:09:25,2181,0.6094408541725204
44402,although,Crystal Mcmillan,Cindy Roberts,20:03,sign,personal,2023-08-08T00:05:14,2024-11-05T14:46:14,1203,0.33464456307951673
60555,enjoy,Brian Jackson,Dylan Brown,11:20,medical,several,2024-12-08T08:35:11,2024-01-20T06:46:04,680,0.18769317223939308
